管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk44OE,OS247,変更,2021/5/12,2024/8/19,ｷｰｴﾝｽｴﾝｼﾞﾆｱﾘﾝｸﾞ,大阪府,大阪市,JR高槻駅,正社員/契約社員,その他,生産工場で稼働する製造装置のメンテナス業務 ・生産設備の増産対応 ・不具合改良 ・消耗部品のメンテナンス手配,※下記どれか一つ満たしていれば可 ・電気回路図が読める ・VisualBasicを読み取れる ・ラダープログラムが理解できる,生産設備、装置,400万?600万,9:00～18:00 (休憩12:00～13:00),20h,3,不可,,可,超一流企業での勤務 ※21時00分を超えての残業はありません。,不明
nk45OE,OS250,-,2021/5/12,2024/8/19,ｷｰｴﾝｽ,大阪府,大阪市,地下鉄　西中島南方駅,正社員/契約社員,その他,設備、治具等の設計業務 ・組立工程や要求仕様に基づいて構想を イメージしながら外部業者と調整,＜MUST＞SolidWorks実務経験  ・設備、製品等工程や要求をイメージして設計できる方,生産設備、治具設計、装置設計,400万?600万,9:00～18:00 (休憩12:00～13:00),20h,3,不可,,不可,超一流企業での勤務 ※21時00分を超えての残業はありません。,不明
nk46OE,OS29,-,2021/5/12,2024/8/19,富士電機神戸工場,兵庫県,神戸市,西神中央駅,正社員/契約社員,その他,配電盤の試験評価,・実験評価経験 ・大電流を扱ったことがある,配電盤,300万?450万,8:30～17:00,20h,3,不可,可,不可,配電盤の開発に携われます。,不明
nk47ME,OS57,-,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,車載用スピーカーの設計・評価業務,・オーディオ（音響）に興味がある方 ・機構設計の基礎スキル,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,不可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk48ME,OS59,-,2021/5/12,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,機電,カーナビゲーションHMIソフトウェアの開発設計,・開発経験5年以上 ・UI層(オブジェクト指向)の開発経験3年以上 ・C、C++、Java言語の経験5年以上 ・Androidが使える,カーナビ カーエレクトロニクス製品,300万?450万,8:30～17:00,40h,3,不可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk49ME,OS87,変更,2021/3/11,2024/8/19,ﾀﾞｲﾊﾂ工業池田,大阪府,池田市,阪急　池田駅,正社員/契約社員,機電,特車企画開発設計,・CATIAV5,自動車,300万?450万,8:45～17:30,～10h,3,不可,,可,有名自動車メーカーでのお仕事！ ＰＣ業務が好きな方大歓迎！,不明
nk50ME,OS92,-,2021/5/12,2024/8/19,神埼高級工機製作所,兵庫県,尼崎市,猪名寺駅,正社員/契約社員,機電,トランスミッション、歯車、工作機械の製造,・設計経験,トランスミッション、工作機械,240万?450万,8:15～16:45,5h,5,不可,可,可,大手メーカーのグループ会社でのお仕事です。 外国籍相談可,不明
nk51ME,OS93,-,2021/5/12,2024/8/19,神埼高級工機製作所,兵庫県,尼崎市,猪名寺駅,正社員/契約社員,機電,トランスミッション、歯車、工作機械の製造,・生産技術経験,トランスミッション、工作機械,240万?450万,8:15～16:45,5h,5,不可,可,可,大手メーカーのグループ会社でのお仕事です。 外国籍相談可,不明
nk52IE,MT482,変更,2021/3/10,2024/8/26,日立ﾄﾞｷｭﾒﾝﾄｿﾘｭｰｼｮﾝｽﾞ,茨城県,日立市,大甕駅or内原駅,正社員,IT,システム設計・開発等,・C＋＋経験者（5-10年）,工場生産システム,400万～,8:40-17:20,20h,3,不可,可,不可,長期就業希望。大規模（１年-2年）のプロジェクトを月々に行っていくお仕事です4/1、5/1就業可能な方最優先で検討,不明
nk53IE,MT492,変更,2021/3/10,2024/8/26,東京ｺﾝﾋﾟｭｰﾀｰｻｰﾋﾞｽ,茨城県,日立市,大甕駅or水戸駅,正社員,IT,システム設計・開発等,"・C,C＋＋経験者（1年～検討可）",鉄道運行管理システム 大規模インフラシステム,380万～,8:40-17:20,20h,3,不可,可,不可,短期（6カ月）のプロジェクトを次々と行っていくお仕事と、長期のインフラシステムのお仕事どちらもあります！,不明
nk54IE,MT50,変更,2021/3/10,2024/8/26,富士ｿﾌﾄ,茨城県,日立市,大甕駅,正社員,IT,システム設計・開発等,"・.NET経験者かつC,Linuxの実務経験",鉄道運行管理システム 大規模インフラシステム,380万～,9:00-17:30,20h,4,不可,可,可,短期（3カ月）のプロジェクトを次々と行っていくお仕事と、長期の鉄道開発のお仕事があります 外国籍相談可,不明
nk55IE,MT512,変更,2021/3/10,2024/8/26,東日本技術研究所,茨城県,ひたちなか市,大甕駅,正社員,IT,交通系システム設計・開発等,・C#、Java、C,鉄道運行管理システム 大規模インフラシステム,400万～,08:00-17:00,20h,3,不可,可,可,長期のプロジェクトを１年程度のフェーズで行っていくお仕事です随時募集　急募のため再掲載 外国籍相談可,不明
nk56IE,MT52,変更,2021/3/10,2024/8/26,日立ﾄﾞｷｭﾒﾝﾄｿﾘｭｰｼｮﾝｽﾞ,茨城県,日立市,日立駅 大甕駅 勝田駅 内原駅,正社員,IT,システム設計・開発等,・言語：VB.NET、ASP.NET、C# フレームワーク系経験者（3年～） C言語、C++,日立系システム 大規模インフラシステム,400万～,08:00-17:00,20h,4,不可,可,可,短期（6カ月）のプロジェクトを次々と行っていくお仕事と、長期のインフラシステムのお仕事どちらもあります！ ※車があると便利です随時募集　急募のため再掲載 外国籍相談可,不明
nk57IE,MT532,変更,2021/3/10,2024/8/26,東京ｺﾝﾋﾟｭｰﾀｰｻｰﾋﾞｽ,茨城県,水戸市 日立市,水戸駅 大甕駅,正社員,IT,産業システム開発,"・Java,C++,C#,フレームワーク系 経験者のみ(2-3年)",産業システム,400万～,08:00-17:00,20h,3,不可,可,不可,大規模長期（3年）プロジェクトを行う仕事です。随時募集　急募のため再掲載,不明
nk58IE,MT542,変更,2021/3/10,2024/8/26,富士ｿﾌﾄ,茨城県,日立市,大甕駅,正社員,IT,システム設計・開発等,・言語問わず、PG・SE経験者 ＜WANT＞ C（Linux)歓迎（経験半年以上）,産業システム,400万～,08:00-17:00,20h,3,不可,可,可,短期（6カ月）のプロジェクトを次々と行っていくお仕事です。対顧客、出張が多めです。随時募集　急募のため再掲載 外国籍相談可,不明
nk59ME,SD106,変更,2021/2/9,2024/8/8,ﾄﾖﾀ自動車東日本,宮城県,大衡村,JR古川より18km,正社員/契約社員,機電,・自動車生産ラインの工程計画・生産準備 ・自動車生産設備の検討・開発・設計など （ボデー、塗装、組立て工程）,・メカ設計経験 ・CAE解析経験 ・電気制御（シーケンス設計） ・CATIA操作,自動車製造設備,250万～450万,8:30～17:30,20h,20,不可,,可,東北では少ない自動車メーカー あの有名企業の生産を支える、エンジニアを募集。 街中でよく見かける車種の生産を支える、生産技術職の募集,不明
nk60ME,SD107,変更,2021/2/9,2024/8/8,ﾄﾖﾀ自動車東日本,岩手県,金ヶ崎町,JR北上,正社員/契約社員,機電,・自動車生産ラインの工程計画・生産準備 ・自動車生産設備の検討・開発・設計など （ボデー、塗装、組立て工程）,・メカ設計経験 ・CAE解析経験 ・電気制御（シーケンス設計） ・CATIA操作,自動車製造設備,250万～450万,8:30～17:30,20h,21,不可,,可,東北では少ない自動車メーカー あの有名企業の生産を支える、エンジニアを募集。 街中でよく見かける車種の生産を支える、生産技術職の募集,不明
nk61IE,SD108,変更,2021/2/9,2024/8/8,東京ｺﾝﾋﾟｭｰﾀｻｰﾋﾞｽ,北海道,札幌市,JR札幌駅,正社員/契約社員,IT,C#、.NETを使ったシステム開発,・C#、.NETの開発経験 ・もしくは、C言語、Javaの経験,システム全般,300万～450万,9:00～18:00,20h,3,不可,,可,札幌駅から徒歩10分くらいの距離に位置し、 出勤アクセスがとてもいい。 全国展開をしている大きな企業で、就業して頂きます。,不明
nk62IE,SD109,変更,2021/2/9,2024/8/8,東京ｺﾝﾋﾟｭｰﾀｻｰﾋﾞｽ,宮城県,仙台市,JR仙台駅,正社員/契約社員,IT,Javaを使ったシステム開発業務,・Javaでの開発経験 ・データベースの知識,システム全般,300万～450万,9:00～18:00,20h,3,不可,,可,実務経験が無くても、「こんなシステムを作ってみた。」と成果物をお持ち頂き、アピール頂いてもOK 案件により若干就業場所(最寄り駅)が変わるが、仙台駅や広瀬通駅等、アクセスのよい就業場所が多い。 全国展開をしている大きな企業で就業して頂きます。,不明
nk63IE,SD110,変更,2021/2/9,2024/8/8,東北ｼｽﾃﾑｽﾞ･ｻﾎﾟｰﾄ,岩手県,盛岡市,JR盛岡駅,正社員/契約社員,IT,C#を使ったシステム開発業務,・C#での開発経験 成果物があると尚可,システム全般,250万～450万,9:00～18:00,20h,3,不可,,不可,社内開発案件の為、わからないことを聞きやすい雰囲気。 新しく出来た、開発センターなので、とてもきれいでオシャレなオフィス。,不明
nk64IE,SD111,変更,2021/2/9,2024/8/8,東京ｺﾝﾋﾟｭｰﾀｻｰﾋﾞｽ,岩手県,盛岡市,JR盛岡駅,正社員/契約社員,IT,JavaやC#を使ったシステム開発業務,・開発経験（言語は経験があれば不問）,システム全般,250万～450万,9:00～18:00,20h,3,不可,,不可,様々な案件を受注している為、一つのスキルだけでなく、様々なスキルを身に着けることができる。,不明
nk65IE,SD113,変更,2021/2/9,2024/8/8,ﾃﾞｼﾞﾀﾙﾄﾗｽﾄ,宮城県,仙台市,JR仙台駅,正社員/契約社員,IT,Javaを使ったシステム開発業務,・Javaでの開発経験,システム全般,250万～450万,9:00～18:00,20h,8,不可,,可,（ロースキル検討可） 2019年11月～長期案件 未経験では対応は難しいが、ロースキル者の検討は出来る,不明
nk66IE,SD114,変更,2021/2/9,2024/8/8,ﾃﾞｼﾞﾀﾙﾄﾗｽﾄ,宮城県,仙台市,JR仙台駅,正社員/契約社員,IT,C#（Linux）を使ったシステム開発業務,・Linux環境でのC#経験者,システム全般,250万～450万,9:00～18:00,20h,5,不可,,可,2019年12月～長期案件 年齢問わず、経験者募集,不明
nk67IE,SD115,変更,2021/2/9,2024/8/8,ｺｱ,北海道,札幌市,JR札幌駅 地下鉄沿線,正社員/契約社員,IT,顧客内製の会計システム更改 ・COBOL ・要件整理～,・IBM系COBOL開発経験 ＜WANT＞ ・勘定系経験(特に債権(請求・回収)業務関連) ・上流工程経験,システム全般,300万～450万,・8:30～17:30 ・9:00～18:00,20h,3,不可,,不可,・2019年11月～2、3年続く長期案件 ・COBOLの他にもJavaやC、C#などの開発経験や勉強経験がある方大歓迎！ ・Uターン技術者歓迎！（一般アパート物件の寮からの通勤可）,不明
nk68IE,SD116,変更,2021/2/9,2024/8/8,東北ｼｽﾃﾑｽﾞ･ｻﾎﾟｰﾄ,宮城県,仙台市,福田町,正社員/契約社員,IT,商社向け認証基盤システム改訂,・C#、PowerShellの経験,システム全般,300万～500万,9:00～18:00,20h,5,不可,,可,仙台駅より、仙石線で15分程度。 東京のお客様のお仕事の為、東京出張があります。 技術力重視,不明
nk69OE,SD117,変更,2021/2/9,2024/8/30,ﾌﾟﾗｲﾑｱｰｽEVｴﾅｼﾞｰ,宮城県,大和町,泉中央より18km,正社員/契約社員,その他,生産技術 ・源泉、セルフタ、活性化工程、設備本体付帯の手配から量産前までの支援業務,・生産技術の実経験 ・自部門及び他部門の社員とコミュニケーションが取れる方（報連相の重要性を認識している方）,HEV用ニッケル水素バッテリー リチウムイオンバッテリー,300～400万,8:30～17:15,30h,3,不可,,可,・IOTに知見のある方特に歓迎 ・機械製図やＱＣ検定などといった専門技術の資格を持っている方希望 ・国内出張の可能性有り　,不明
nk70OE,SD118,変更,2021/2/9,2024/8/30,ﾌﾟﾗｲﾑｱｰｽEVｴﾅｼﾞｰ,宮城県,大和町,泉中央より18km,正社員/契約社員,その他,生産技術 ・設備の安全チェック ・生準立ち上げにおける工程能力調査 ・稼働向上に向けた設備改善,・設備構想や設計に従事していたことがある方（特に電気制御） ・設備保全や改善に従事したことがある方 ・自部門及び他部門の社員とコミュニケーションが取れる方 ・電池や自動車改善に深い興味と知識を有している方,HEV用ニッケル水素バッテリー リチウムイオンバッテリー,400～500万,8:30～17:15,40h,3,不可,,可,・機械製図やＱＣ検定などといった専門技術の資格を持っている方（希望）,不明
nk71IE,SD122,変更,2021/2/9,2024/8/8,SCSKﾆｱｼｮｱｼｽﾃﾑｽﾞ盛岡,岩手県,盛岡市,盛岡駅,正社員/契約社員,IT,システム開発・プログラミング,＜MUST＞ ・Javaコーディング経験 ＜WANT＞ ・他言語でのコーディング経験 リーダー経験 ・成果物の持ち込み,システム全般,280万～500万,9:00～18:00 （案件によって変動有）,20～30h,3,不可,,可,Uターン、Iターン歓迎！ Javaの開発案件が常にあり、スキルを積んでいくことが可能。 盛岡の街の中での業務の為、通勤が便利 若手に教えることが好きな人歓迎！,不明
nk72IE,SD123,変更,2021/2/9,2024/8/8,SCSKﾆｱｼｮｱｼｽﾃﾑｽﾞ秋田,秋田県,秋田市,秋田駅,正社員/契約社員,IT,システム開発・プログラミング （小売業・金融・社内システム等）,＜MUST＞ ・Javaコーディング経験 ＜WANT＞ ・他言語でのコーディング経験 ・リーダー経験 ・成果物の持ち込み,システム全般,280万～500万,9:00～18:00 （案件によって変動有）,20～30h,3,不可,,可,Uターン、Iターン歓迎！ Javaの開発案件が常にあり、プログラミングスキルを積むことが可能。 秋田駅周辺での業務の為、通勤が便利 自分の知識を教えることが好きな人歓迎！,不明
